Results	Entity	Line	Column	Check
                    Identifier SERQ reused	SERQ	5299	21	5.7 No identifier name should be reused
                    Identifier SERQR reused	SERQR	5301	6	5.7 No identifier name should be reused
                    Identifier SET reused	SET	5508	21	5.7 No identifier name should be reused
                    Identifier SF reused	SF	2256	22	5.7 No identifier name should be reused
                    Identifier SFEF reused	SFEF	2884	22	5.7 No identifier name should be reused
                    Identifier SFEF reused	SFEF	3149	22	5.7 No identifier name should be reused
                    Identifier SFEF reused	SFEF	3485	22	5.7 No identifier name should be reused
                    Identifier SFM reused	SFM	4281	22	5.7 No identifier name should be reused
                    Identifier SFTM reused	SFTM	2825	22	5.7 No identifier name should be reused
                    Identifier SFTM reused	SFTM	3090	22	5.7 No identifier name should be reused
                    Identifier SFTM reused	SFTM	3426	22	5.7 No identifier name should be reused
                    Identifier SGE reused	SGE	5239	22	5.7 No identifier name should be reused
                    Identifier SIRCDIV reused	SIRCDIV	4225	22	5.7 No identifier name should be reused
                    Identifier SIRCON_STDBY reused	SIRCON_STDBY	4229	22	5.7 No identifier name should be reused
                    Identifier SIRCTRIM reused	SIRCTRIM	4223	22	5.7 No identifier name should be reused
                    Identifier SIRC_CTL reused	SIRC_CTL	4231	6	5.7 No identifier name should be reused
                    Identifier SIU reused	SIU	6476	0	5.7 No identifier name should be reused
                    Identifier SIU_reserved0 reused	SIU_reserved0	2239	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved1 reused	SIU_reserved1	2268	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved10 reused	SIU_reserved10	2506	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved11 reused	SIU_reserved11	2516	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved12 reused	SIU_reserved12	2526	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved2 reused	SIU_reserved2	2332	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved3 reused	SIU_reserved3	2427	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved4 reused	SIU_reserved4	2448	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved5 reused	SIU_reserved5	2458	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved6 reused	SIU_reserved6	2468	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved7 reused	SIU_reserved7	2478	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved8 reused	SIU_reserved8	2487	13	5.7 No identifier name should be reused
                    Identifier SIU_reserved9 reused	SIU_reserved9	2496	13	5.7 No identifier name should be reused
                    Identifier SIU_tag reused	SIU_tag	2237	7	5.7 No identifier name should be reused
                    Identifier SIZE reused	SIZE	2136	33	5.7 No identifier name should be reused
                    Identifier SIZE reused	SIZE	2169	21	5.7 No identifier name should be reused
                    Identifier SIZE reused	SIZE	6085	26	5.7 No identifier name should be reused
                    Identifier SIZE reused	SIZE	6213	26	5.7 No identifier name should be reused
                    Identifier SLAST reused	SLAST	5135	17	5.7 No identifier name should be reused
                    Identifier SLAST reused	SLAST	5174	17	5.7 No identifier name should be reused
                    Identifier SLE reused	SLE	6129	26	5.7 No identifier name should be reused
                    Identifier SLE reused	SLE	6258	26	5.7 No identifier name should be reused
                    Identifier SLEEP reused	SLEEP	2830	22	5.7 No identifier name should be reused
                    Identifier SLEEP reused	SLEEP	3095	22	5.7 No identifier name should be reused
                    Identifier SLEEP reused	SLEEP	3431	22	5.7 No identifier name should be reused
                    Identifier SLFWAK reused	SLFWAK	5779	34	5.7 No identifier name should be reused
                    Identifier SLK reused	SLK	2671	22	5.7 No identifier name should be reused
                    Identifier SLK reused	SLK	6134	26	5.7 No identifier name should be reused
                    Identifier SLK reused	SLK	6263	26	5.7 No identifier name should be reused
                    Identifier SLL reused	SLL	6136	10	5.7 No identifier name should be reused
                    Identifier SLL reused	SLL	6265	10	5.7 No identifier name should be reused
                    Identifier SMC reused	SMC	2433	26	5.7 No identifier name should be reused
                    Identifier SMK reused	SMK	6133	26	5.7 No identifier name should be reused
                    Identifier SMK reused	SMK	6262	26	5.7 No identifier name should be reused
                    Identifier SMOD reused	SMOD	5127	18	5.7 No identifier name should be reused
                    Identifier SMOD reused	SMOD	5166	18	5.7 No identifier name should be reused
                    Identifier SMP reused	SMP	5810	22	5.7 No identifier name should be reused
                    Identifier SMPL_PT reused	SMPL_PT	5559	22	5.7 No identifier name should be reused
                    Identifier SMR reused	SMR	3835	22	5.7 No identifier name should be reused
                    Identifier SOE reused	SOE	5235	22	5.7 No identifier name should be reused
                    Identifier SOFF reused	SOFF	5131	17	5.7 No identifier name should be reused
                    Identifier SOFF reused	SOFF	5170	17	5.7 No identifier name should be reused
                    Identifier SOFTRST reused	SOFTRST	5776	34	5.7 No identifier name should be reused
                    Identifier SOURCE reused	SOURCE	6071	21	5.7 No identifier name should be reused
                    Identifier SPERR reused	SPERR	4961	34	5.7 No identifier name should be reused
                    Identifier SPRD_SEL reused	SPRD_SEL	4265	22	5.7 No identifier name should be reused
                    Identifier SR reused	SR	2020	6	5.7 No identifier name should be reused
                    Identifier SR reused	SR	2707	6	5.7 No identifier name should be reused
                    Identifier SR reused	SR	3345	22	5.7 No identifier name should be reused
                    Identifier SR reused	SR	3670	22	5.7 No identifier name should be reused
                    Identifier SR reused	SR	5616	6	5.7 No identifier name should be reused
                    Identifier SRC reused	SRC	2442	26	5.7 No identifier name should be reused
                    Identifier SRR reused	SRR	5699	22	5.7 No identifier name should be reused
                    Identifier SRR reused	SRR	5732	22	5.7 No identifier name should be reused
                    Identifier SRTADDR reused	SRTADDR	5040	26	5.7 No identifier name should be reused
                    Identifier SRW reused	SRW	4928	21	5.7 No identifier name should be reused
                    Identifier SRXDIS reused	SRXDIS	5784	34	5.7 No identifier name should be reused
                    Identifier SSB reused	SSB	5347	21	5.7 No identifier name should be reused
                    Identifier SSBR reused	SSBR	5349	6	5.7 No identifier name should be reused
                    Identifier SSCIR reused	SSCIR	5511	6	5.7 No identifier name should be reused
                    Identifier SSCM reused	SSCM	6477	0	5.7 No identifier name should be reused
                    Identifier SSCM_reserved0 reused	SSCM_reserved0	2558	13	5.7 No identifier name should be reused
                    Identifier SSCM_reserved1 reused	SSCM_reserved1	2577	13	5.7 No identifier name should be reused
                    Identifier SSCM_tag reused	SSCM_tag	2532	7	5.7 No identifier name should be reused
                    Identifier SSIZE reused	SSIZE	5128	18	5.7 No identifier name should be reused
                    Identifier SSIZE reused	SSIZE	5167	18	5.7 No identifier name should be reused
                    Identifier SS_CHKSTOP reused	SS_CHKSTOP	4495	22	5.7 No identifier name should be reused
                    Identifier SS_CMU_FHL reused	SS_CMU_FHL	4492	22	5.7 No identifier name should be reused
                    Identifier SS_CMU_OLR reused	SS_CMU_OLR	4493	22	5.7 No identifier name should be reused
                    Identifier SS_CORE reused	SS_CORE	4497	22	5.7 No identifier name should be reused
                    Identifier SS_EXR reused	SS_EXR	4488	22	5.7 No identifier name should be reused
                    Identifier SS_FLASH reused	SS_FLASH	4490	22	5.7 No identifier name should be reused
                    Identifier SS_FMPLL reused	SS_FMPLL	4494	22	5.7 No identifier name should be reused
                    Identifier SS_JTAG reused	SS_JTAG	4498	22	5.7 No identifier name should be reused
                    Identifier SS_LVD45 reused	SS_LVD45	4491	22	5.7 No identifier name should be reused
                    Identifier SS_SOFT reused	SS_SOFT	4496	22	5.7 No identifier name should be reused
                    Identifier STANDBY0 reused	STANDBY0	3776	22	5.7 No identifier name should be reused
                    Identifier STANDBY0 reused	STANDBY0	3993	6	5.7 No identifier name should be reused
                    Identifier STANDBY0 reused	STANDBY0	4093	22	5.7 No identifier name should be reused
                    Identifier START reused	START	5157	18	5.7 No identifier name should be reused
                    Identifier START reused	START	5200	18	5.7 No identifier name should be reused
                    Identifier STATUS reused	STATUS	2545	6	5.7 No identifier name should be reused
                    Identifier STBY0 reused	STBY0	4538	22	5.7 No identifier name should be reused
                    Identifier STDBY reused	STDBY	4509	6	5.7 No identifier name should be reused
                    Identifier STD_ID reused	STD_ID	5711	22	5.7 No identifier name should be reused
                    Identifier STD_ID reused	STD_ID	5744	22	5.7 No identifier name should be reused
                    Identifier STFERR reused	STFERR	5874	22	5.7 No identifier name should be reused
                    Identifier STM reused	STM	6478	0	5.7 No identifier name should be reused
                    Identifier STM_CHANNEL_reserved0 reused	STM_CHANNEL_reserved0	2622	13	5.7 No identifier name should be reused
                    Identifier STM_CHANNEL_tag reused	STM_CHANNEL_tag	2597	9	5.7 No identifier name should be reused
                    Identifier STM_reserved1 reused	STM_reserved1	2644	13	5.7 No identifier name should be reused
                    Identifier STM_tag reused	STM_tag	2627	7	5.7 No identifier name should be reused
                    Identifier STOP reused	STOP	3344	22	5.7 No identifier name should be reused
                    Identifier STOP reused	STOP	3669	22	5.7 No identifier name should be reused
                    Identifier STOP0 reused	STOP0	3778	22	5.7 No identifier name should be reused
                    Identifier STOP0 reused	STOP0	3974	6	5.7 No identifier name should be reused
                    Identifier STOP0 reused	STOP0	4095	22	5.7 No identifier name should be reused
                    Identifier STOP0 reused	STOP0	4540	22	5.7 No identifier name should be reused
                    Identifier STP reused	STP	2673	22	5.7 No identifier name should be reused
                    Identifier STRB_BYPASS reused	STRB_BYPASS	4263	22	5.7 No identifier name should be reused
                    Identifier STSLK reused	STSLK	6131	26	5.7 No identifier name should be reused
                    Identifier STSLK reused	STSLK	6260	26	5.7 No identifier name should be reused
                    Identifier SUPV reused	SUPV	2190	22	5.7 No identifier name should be reused
                    Identifier SUPV reused	SUPV	5778	34	5.7 No identifier name should be reused
                    Identifier SWT reused	SWT	6479	0	5.7 No identifier name should be reused
                    Identifier SWT_tag reused	SWT_tag	2652	7	5.7 No identifier name should be reused
                    Identifier SXOSC_CTL reused	SXOSC_CTL	4192	6	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3868	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3885	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3902	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3919	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3936	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3953	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3972	22	5.7 No identifier name should be reused
                    Identifier SYSCLK reused	SYSCLK	3991	22	5.7 No identifier name should be reused
                    Identifier SYSCLK_SW reused	SYSCLK_SW	3841	22	5.7 No identifier name should be reused
                    Identifier SZF reused	SZF	2880	22	5.7 No identifier name should be reused
                    Identifier SZF reused	SZF	2916	22	5.7 No identifier name should be reused
                    Identifier SZF reused	SZF	3145	22	5.7 No identifier name should be reused
                    Identifier SZF reused	SZF	3182	22	5.7 No identifier name should be reused
                    Identifier SZF reused	SZF	3481	22	5.7 No identifier name should be reused
                    Identifier SZF reused	SZF	3518	22	5.7 No identifier name should be reused
                    Identifier SZIE reused	SZIE	2839	22	5.7 No identifier name should be reused
                    Identifier SZIE reused	SZIE	3104	22	5.7 No identifier name should be reused
                    Identifier SZIE reused	SZIE	3440	22	5.7 No identifier name should be reused
                    Identifier S_ADC0 reused	S_ADC0	4043	22	5.7 No identifier name should be reused
