Results	Entity	Line	Column	Check
        Identifier CIM7 reused	CIM7	1502	22	5.7 No identifier name should be reused
        Identifier CIM70 reused	CIM70	322	22	5.7 No identifier name should be reused
        Identifier CIM71 reused	CIM71	321	22	5.7 No identifier name should be reused
        Identifier CIM72 reused	CIM72	320	22	5.7 No identifier name should be reused
        Identifier CIM73 reused	CIM73	319	22	5.7 No identifier name should be reused
        Identifier CIM74 reused	CIM74	318	22	5.7 No identifier name should be reused
        Identifier CIM75 reused	CIM75	317	22	5.7 No identifier name should be reused
        Identifier CIM76 reused	CIM76	316	22	5.7 No identifier name should be reused
        Identifier CIM77 reused	CIM77	315	22	5.7 No identifier name should be reused
        Identifier CIM78 reused	CIM78	314	22	5.7 No identifier name should be reused
        Identifier CIM79 reused	CIM79	313	22	5.7 No identifier name should be reused
        Identifier CIM8 reused	CIM8	244	22	5.7 No identifier name should be reused
        Identifier CIM8 reused	CIM8	1501	22	5.7 No identifier name should be reused
        Identifier CIM80 reused	CIM80	312	22	5.7 No identifier name should be reused
        Identifier CIM81 reused	CIM81	311	22	5.7 No identifier name should be reused
        Identifier CIM82 reused	CIM82	310	22	5.7 No identifier name should be reused
        Identifier CIM83 reused	CIM83	309	22	5.7 No identifier name should be reused
        Identifier CIM84 reused	CIM84	308	22	5.7 No identifier name should be reused
        Identifier CIM85 reused	CIM85	307	22	5.7 No identifier name should be reused
        Identifier CIM86 reused	CIM86	306	22	5.7 No identifier name should be reused
        Identifier CIM87 reused	CIM87	305	22	5.7 No identifier name should be reused
        Identifier CIM88 reused	CIM88	304	22	5.7 No identifier name should be reused
        Identifier CIM89 reused	CIM89	303	22	5.7 No identifier name should be reused
        Identifier CIM9 reused	CIM9	243	22	5.7 No identifier name should be reused
        Identifier CIM9 reused	CIM9	1500	22	5.7 No identifier name should be reused
        Identifier CIM90 reused	CIM90	302	22	5.7 No identifier name should be reused
        Identifier CIM91 reused	CIM91	301	22	5.7 No identifier name should be reused
        Identifier CIM92 reused	CIM92	300	22	5.7 No identifier name should be reused
        Identifier CIM93 reused	CIM93	299	22	5.7 No identifier name should be reused
        Identifier CIM94 reused	CIM94	298	22	5.7 No identifier name should be reused
        Identifier CIM95 reused	CIM95	297	22	5.7 No identifier name should be reused
        Identifier CIMR0 reused	CIMR0	254	6	5.7 No identifier name should be reused
        Identifier CIMR0 reused	CIMR0	1511	6	5.7 No identifier name should be reused
        Identifier CIMR1 reused	CIMR1	292	6	5.7 No identifier name should be reused
        Identifier CIMR1 reused	CIMR1	1526	6	5.7 No identifier name should be reused
        Identifier CIMR2 reused	CIMR2	330	6	5.7 No identifier name should be reused
        Identifier CINT reused	CINT	5331	21	5.7 No identifier name should be reused
        Identifier CIR reused	CIR	2613	6	5.7 No identifier name should be reused
        Identifier CIRQR reused	CIRQR	5333	6	5.7 No identifier name should be reused
        Identifier CITER reused	CITER	5139	18	5.7 No identifier name should be reused
        Identifier CITER reused	CITER	5181	18	5.7 No identifier name should be reused
        Identifier CITERE_LINK reused	CITERE_LINK	5138	18	5.7 No identifier name should be reused
        Identifier CITERE_LINK reused	CITERE_LINK	5179	18	5.7 No identifier name should be reused
        Identifier CITERLINKCH reused	CITERLINKCH	5180	18	5.7 No identifier name should be reused
        Identifier CLKSEL reused	CLKSEL	2205	22	5.7 No identifier name should be reused
        Identifier CLKSEL1 reused	CLKSEL1	4283	22	5.7 No identifier name should be reused
        Identifier CLKSRC reused	CLKSRC	5805	22	5.7 No identifier name should be reused
        Identifier CLM reused	CLM	5217	22	5.7 No identifier name should be reused
        Identifier CLR reused	CLR	5509	21	5.7 No identifier name should be reused
        Identifier CLR_FLAG reused	CLR_FLAG	4604	22	5.7 No identifier name should be reused
        Identifier CLR_RXF reused	CLR_RXF	5558	22	5.7 No identifier name should be reused
        Identifier CLR_TXF reused	CLR_TXF	5557	22	5.7 No identifier name should be reused
        Identifier CME_A reused	CME_A	4286	22	5.7 No identifier name should be reused
        Identifier CMP reused	CMP	2618	22	5.7 No identifier name should be reused
        Identifier CMP reused	CMP	2620	6	5.7 No identifier name should be reused
        Identifier CMU_CSR reused	CMU_CSR	4288	6	5.7 No identifier name should be reused
        Identifier CMU_FDR reused	CMU_FDR	4296	6	5.7 No identifier name should be reused
        Identifier CMU_HFREFR reused	CMU_HFREFR	4304	6	5.7 No identifier name should be reused
        Identifier CMU_ISR reused	CMU_ISR	4322	6	5.7 No identifier name should be reused
        Identifier CMU_LFREFR reused	CMU_LFREFR	4312	6	5.7 No identifier name should be reused
        Identifier CMU_MDR reused	CMU_MDR	4333	6	5.7 No identifier name should be reused
        Identifier CNT reused	CNT	2642	6	5.7 No identifier name should be reused
        Identifier CNT reused	CNT	2712	22	5.7 No identifier name should be reused
        Identifier CNT reused	CNT	2940	22	5.7 No identifier name should be reused
        Identifier CNT reused	CNT	3206	22	5.7 No identifier name should be reused
        Identifier CNT reused	CNT	3541	22	5.7 No identifier name should be reused
        Identifier CNTEN reused	CNTEN	2198	22	5.7 No identifier name should be reused
        Identifier CO reused	CO	2714	6	5.7 No identifier name should be reused
        Identifier CODE reused	CODE	5697	22	5.7 No identifier name should be reused
        Identifier CONT reused	CONT	5640	22	5.7 No identifier name should be reused
        Identifier CONT_SCKE reused	CONT_SCKE	5540	22	5.7 No identifier name should be reused
        Identifier CORE_DBG reused	CORE_DBG	3833	22	5.7 No identifier name should be reused
        Identifier CPE reused	CPE	5232	22	5.7 No identifier name should be reused
        Identifier CPHA reused	CPHA	5581	22	5.7 No identifier name should be reused
        Identifier CPOL reused	CPOL	5580	22	5.7 No identifier name should be reused
        Identifier CPR reused	CPR	5444	6	5.7 No identifier name should be reused
        Identifier CPR reused	CPR	5480	6	5.7 No identifier name should be reused
        Identifier CPS reused	CPS	2633	22	5.7 No identifier name should be reused
        Identifier CR reused	CR	2016	10	5.7 No identifier name should be reused
        Identifier CR reused	CR	2638	6	5.7 No identifier name should be reused
        Identifier CR reused	CR	2677	6	5.7 No identifier name should be reused
        Identifier CR reused	CR	5225	6	5.7 No identifier name should be reused
        Identifier CR reused	CR	5817	6	5.7 No identifier name should be reused
        Identifier CRCERR reused	CRCERR	5872	22	5.7 No identifier name should be reused
        Identifier CS reused	CS	5705	6	5.7 No identifier name should be reused
        Identifier CS reused	CS	5738	6	5.7 No identifier name should be reused
        Identifier CSL reused	CSL	2672	22	5.7 No identifier name should be reused
        Identifier CSP reused	CSP	2245	22	5.7 No identifier name should be reused
        Identifier CSR reused	CSR	4679	6	5.7 No identifier name should be reused
        Identifier CSSCK reused	CSSCK	5587	22	5.7 No identifier name should be reused
        Identifier CTAR reused	CTAR	5592	6	5.7 No identifier name should be reused
        Identifier CTAS reused	CTAS	5641	22	5.7 No identifier name should be reused
        Identifier CTCNT reused	CTCNT	5643	22	5.7 No identifier name should be reused
        Identifier CTO reused	CTO	3361	22	5.7 No identifier name should be reused
        Identifier CTO reused	CTO	3686	22	5.7 No identifier name should be reused
        Identifier CTR0 reused	CTR0	676	6	5.7 No identifier name should be reused
        Identifier CTR0 reused	CTR0	1709	6	5.7 No identifier name should be reused
        Identifier CTR1 reused	CTR1	690	6	5.7 No identifier name should be reused
        Identifier CTR1 reused	CTR1	1723	6	5.7 No identifier name should be reused
        Identifier CTR2 reused	CTR2	704	6	5.7 No identifier name should be reused
        Identifier CTUEN reused	CTUEN	59	26	5.7 No identifier name should be reused
        Identifier CTUEN reused	CTUEN	1394	22	5.7 No identifier name should be reused
        Identifier CTUL reused	CTUL	6445	0	5.7 No identifier name should be reused
        Identifier CTUL_tag reused	CTUL_tag	4585	7	5.7 No identifier name should be reused
        Identifier CTUSTART reused	CTUSTART	79	26	5.7 No identifier name should be reused
        Identifier CTUSTART reused	CTUSTART	1415	22	5.7 No identifier name should be reused
        Identifier CTU_reserved reused	CTU_reserved	4597	13	5.7 No identifier name should be reused
        Identifier CVAL reused	CVAL	4864	10	5.7 No identifier name should be reused
        Identifier CWEN0 reused	CWEN0	1197	22	5.7 No identifier name should be reused
        Identifier CWEN0 reused	CWEN0	1936	22	5.7 No identifier name should be reused
        Identifier CWEN1 reused	CWEN1	1196	22	5.7 No identifier name should be reused
        Identifier CWEN1 reused	CWEN1	1935	22	5.7 No identifier name should be reused
        Identifier CWEN10 reused	CWEN10	1187	22	5.7 No identifier name should be reused
        Identifier CWEN10 reused	CWEN10	1926	22	5.7 No identifier name should be reused
        Identifier CWEN11 reused	CWEN11	1186	22	5.7 No identifier name should be reused
        Identifier CWEN11 reused	CWEN11	1925	22	5.7 No identifier name should be reused
        Identifier CWEN12 reused	CWEN12	1185	22	5.7 No identifier name should be reused
        Identifier CWEN12 reused	CWEN12	1924	22	5.7 No identifier name should be reused
        Identifier CWEN13 reused	CWEN13	1184	22	5.7 No identifier name should be reused
        Identifier CWEN13 reused	CWEN13	1923	22	5.7 No identifier name should be reused
        Identifier CWEN14 reused	CWEN14	1183	22	5.7 No identifier name should be reused
        Identifier CWEN14 reused	CWEN14	1922	22	5.7 No identifier name should be reused
        Identifier CWEN15 reused	CWEN15	1182	22	5.7 No identifier name should be reused
        Identifier CWEN15 reused	CWEN15	1921	22	5.7 No identifier name should be reused
        Identifier CWEN2 reused	CWEN2	1195	22	5.7 No identifier name should be reused
        Identifier CWEN2 reused	CWEN2	1934	22	5.7 No identifier name should be reused
        Identifier CWEN3 reused	CWEN3	1194	22	5.7 No identifier name should be reused
        Identifier CWEN3 reused	CWEN3	1933	22	5.7 No identifier name should be reused
        Identifier CWEN32 reused	CWEN32	1232	22	5.7 No identifier name should be reused
        Identifier CWEN32 reused	CWEN32	1951	22	5.7 No identifier name should be reused
        Identifier CWEN33 reused	CWEN33	1231	22	5.7 No identifier name should be reused
        Identifier CWEN33 reused	CWEN33	1950	22	5.7 No identifier name should be reused
        Identifier CWEN34 reused	CWEN34	1230	22	5.7 No identifier name should be reused
        Identifier CWEN34 reused	CWEN34	1949	22	5.7 No identifier name should be reused
        Identifier CWEN35 reused	CWEN35	1229	22	5.7 No identifier name should be reused
        Identifier CWEN35 reused	CWEN35	1948	22	5.7 No identifier name should be reused
        Identifier CWEN36 reused	CWEN36	1228	22	5.7 No identifier name should be reused
        Identifier CWEN36 reused	CWEN36	1947	22	5.7 No identifier name should be reused
        Identifier CWEN37 reused	CWEN37	1227	22	5.7 No identifier name should be reused
        Identifier CWEN37 reused	CWEN37	1946	22	5.7 No identifier name should be reused
        Identifier CWEN38 reused	CWEN38	1226	22	5.7 No identifier name should be reused
        Identifier CWEN38 reused	CWEN38	1945	22	5.7 No identifier name should be reused
        Identifier CWEN39 reused	CWEN39	1225	22	5.7 No identifier name should be reused
        Identifier CWEN39 reused	CWEN39	1944	22	5.7 No identifier name should be reused
        Identifier CWEN4 reused	CWEN4	1193	22	5.7 No identifier name should be reused
        Identifier CWEN4 reused	CWEN4	1932	22	5.7 No identifier name should be reused
        Identifier CWEN40 reused	CWEN40	1224	22	5.7 No identifier name should be reused
        Identifier CWEN41 reused	CWEN41	1223	22	5.7 No identifier name should be reused
        Identifier CWEN42 reused	CWEN42	1222	22	5.7 No identifier name should be reused
        Identifier CWEN43 reused	CWEN43	1221	22	5.7 No identifier name should be reused
        Identifier CWEN44 reused	CWEN44	1220	22	5.7 No identifier name should be reused
        Identifier CWEN45 reused	CWEN45	1219	22	5.7 No identifier name should be reused
        Identifier CWEN46 reused	CWEN46	1218	22	5.7 No identifier name should be reused
        Identifier CWEN47 reused	CWEN47	1217	22	5.7 No identifier name should be reused
        Identifier CWEN48 reused	CWEN48	1216	22	5.7 No identifier name should be reused
        Identifier CWEN49 reused	CWEN49	1215	22	5.7 No identifier name should be reused
        Identifier CWEN5 reused	CWEN5	1192	22	5.7 No identifier name should be reused
        Identifier CWEN5 reused	CWEN5	1931	22	5.7 No identifier name should be reused
        Identifier CWEN50 reused	CWEN50	1214	22	5.7 No identifier name should be reused
        Identifier CWEN51 reused	CWEN51	1213	22	5.7 No identifier name should be reused
        Identifier CWEN52 reused	CWEN52	1212	22	5.7 No identifier name should be reused
        Identifier CWEN53 reused	CWEN53	1211	22	5.7 No identifier name should be reused
        Identifier CWEN54 reused	CWEN54	1210	22	5.7 No identifier name should be reused
        Identifier CWEN55 reused	CWEN55	1209	22	5.7 No identifier name should be reused
        Identifier CWEN56 reused	CWEN56	1208	22	5.7 No identifier name should be reused
        Identifier CWEN57 reused	CWEN57	1207	22	5.7 No identifier name should be reused
        Identifier CWEN58 reused	CWEN58	1206	22	5.7 No identifier name should be reused
        Identifier CWEN59 reused	CWEN59	1205	22	5.7 No identifier name should be reused
        Identifier CWEN6 reused	CWEN6	1191	22	5.7 No identifier name should be reused
        Identifier CWEN6 reused	CWEN6	1930	22	5.7 No identifier name should be reused
        Identifier CWEN64 reused	CWEN64	1270	22	5.7 No identifier name should be reused
        Identifier CWEN65 reused	CWEN65	1269	22	5.7 No identifier name should be reused
        Identifier CWEN66 reused	CWEN66	1268	22	5.7 No identifier name should be reused
        Identifier CWEN67 reused	CWEN67	1267	22	5.7 No identifier name should be reused
        Identifier CWEN68 reused	CWEN68	1266	22	5.7 No identifier name should be reused
        Identifier CWEN69 reused	CWEN69	1265	22	5.7 No identifier name should be reused
        Identifier CWEN7 reused	CWEN7	1190	22	5.7 No identifier name should be reused
        Identifier CWEN7 reused	CWEN7	1929	22	5.7 No identifier name should be reused
        Identifier CWEN70 reused	CWEN70	1264	22	5.7 No identifier name should be reused
        Identifier CWEN71 reused	CWEN71	1263	22	5.7 No identifier name should be reused
        Identifier CWEN72 reused	CWEN72	1262	22	5.7 No identifier name should be reused
        Identifier CWEN73 reused	CWEN73	1261	22	5.7 No identifier name should be reused
        Identifier CWEN74 reused	CWEN74	1260	22	5.7 No identifier name should be reused
        Identifier CWEN75 reused	CWEN75	1259	22	5.7 No identifier name should be reused
        Identifier CWEN76 reused	CWEN76	1258	22	5.7 No identifier name should be reused
        Identifier CWEN77 reused	CWEN77	1257	22	5.7 No identifier name should be reused
        Identifier CWEN78 reused	CWEN78	1256	22	5.7 No identifier name should be reused
        Identifier CWEN79 reused	CWEN79	1255	22	5.7 No identifier name should be reused
        Identifier CWEN8 reused	CWEN8	1189	22	5.7 No identifier name should be reused
        Identifier CWEN8 reused	CWEN8	1928	22	5.7 No identifier name should be reused
        Identifier CWEN80 reused	CWEN80	1254	22	5.7 No identifier name should be reused
        Identifier CWEN81 reused	CWEN81	1253	22	5.7 No identifier name should be reused
        Identifier CWEN82 reused	CWEN82	1252	22	5.7 No identifier name should be reused
        Identifier CWEN83 reused	CWEN83	1251	22	5.7 No identifier name should be reused
        Identifier CWEN84 reused	CWEN84	1250	22	5.7 No identifier name should be reused
        Identifier CWEN85 reused	CWEN85	1249	22	5.7 No identifier name should be reused
        Identifier CWEN86 reused	CWEN86	1248	22	5.7 No identifier name should be reused
        Identifier CWEN87 reused	CWEN87	1247	22	5.7 No identifier name should be reused
        Identifier CWEN88 reused	CWEN88	1246	22	5.7 No identifier name should be reused
        Identifier CWEN89 reused	CWEN89	1245	22	5.7 No identifier name should be reused
        Identifier CWEN9 reused	CWEN9	1188	22	5.7 No identifier name should be reused
        Identifier CWEN9 reused	CWEN9	1927	22	5.7 No identifier name should be reused
        Identifier CWEN90 reused	CWEN90	1244	22	5.7 No identifier name should be reused
        Identifier CWEN91 reused	CWEN91	1243	22	5.7 No identifier name should be reused
        Identifier CWEN92 reused	CWEN92	1242	22	5.7 No identifier name should be reused
        Identifier CWEN93 reused	CWEN93	1241	22	5.7 No identifier name should be reused
        Identifier CWEN94 reused	CWEN94	1240	22	5.7 No identifier name should be reused
        Identifier CWEN95 reused	CWEN95	1239	22	5.7 No identifier name should be reused
        Identifier CWENR0 reused	CWENR0	1199	6	5.7 No identifier name should be reused
        Identifier CWENR0 reused	CWENR0	1938	6	5.7 No identifier name should be reused
        Identifier CWENR1 reused	CWENR1	1234	6	5.7 No identifier name should be reused
        Identifier CWENR1 reused	CWENR1	1953	6	5.7 No identifier name should be reused
        Identifier CWENR2 reused	CWENR2	1272	6	5.7 No identifier name should be reused
        Identifier CWSELR0 reused	CWSELR0	981	10	5.7 No identifier name should be reused
        Identifier CWSELR0 reused	CWSELR0	1851	6	5.7 No identifier name should be reused
        Identifier CWSELR1 reused	CWSELR1	1003	10	5.7 No identifier name should be reused
        Identifier CWSELR1 reused	CWSELR1	1873	6	5.7 No identifier name should be reused
        Identifier CWSELR10 reused	CWSELR10	1154	6	5.7 No identifier name should be reused
        Identifier CWSELR11 reused	CWSELR11	1176	6	5.7 No identifier name should be reused
        Identifier CWSELR4 reused	CWSELR4	1027	6	5.7 No identifier name should be reused
        Identifier CWSELR4 reused	CWSELR4	1897	6	5.7 No identifier name should be reused
        Identifier CWSELR5 reused	CWSELR5	1049	6	5.7 No identifier name should be reused
        Identifier CWSELR5 reused	CWSELR5	1913	6	5.7 No identifier name should be reused
        Identifier CWSELR6 reused	CWSELR6	1071	6	5.7 No identifier name should be reused
        Identifier CWSELR7 reused	CWSELR7	1088	6	5.7 No identifier name should be reused
        Identifier CWSELR8 reused	CWSELR8	1110	6	5.7 No identifier name should be reused
        Identifier CWSELR9 reused	CWSELR9	1132	6	5.7 No identifier name should be reused
        Identifier CX reused	CX	5212	22	5.7 No identifier name should be reused
        Identifier DADDR reused	DADDR	5136	18	5.7 No identifier name should be reused
        Identifier DADDR reused	DADDR	5177	18	5.7 No identifier name should be reused
        Identifier DAE reused	DAE	5236	22	5.7 No identifier name should be reused
        Identifier DAI reused	DAI	6185	26	5.7 No identifier name should be reused
        Identifier DAI reused	DAI	6192	26	5.7 No identifier name should be reused
        Identifier DAI reused	DAI	6408	26	5.7 No identifier name should be reused
        Identifier DAI reused	DAI	6415	26	5.7 No identifier name should be reused
        Identifier DATA reused	DATA	4937	21	5.7 No identifier name should be reused
        Identifier DATA reused	DATA	5721	6	5.7 No identifier name should be reused
        Identifier DATA reused	DATA	5754	6	5.7 No identifier name should be reused
        Identifier DATA0 reused	DATA0	3020	22	5.7 No identifier name should be reused
        Identifier DATA0 reused	DATA0	3286	22	5.7 No identifier name should be reused
        Identifier DATA0 reused	DATA0	3621	22	5.7 No identifier name should be reused
        Identifier DATA1 reused	DATA1	3019	22	5.7 No identifier name should be reused
        Identifier DATA1 reused	DATA1	3285	22	5.7 No identifier name should be reused
        Identifier DATA1 reused	DATA1	3620	22	5.7 No identifier name should be reused
        Identifier DATA2 reused	DATA2	3018	22	5.7 No identifier name should be reused
        Identifier DATA2 reused	DATA2	3284	22	5.7 No identifier name should be reused
        Identifier DATA2 reused	DATA2	3619	22	5.7 No identifier name should be reused
        Identifier DATA3 reused	DATA3	3017	22	5.7 No identifier name should be reused
        Identifier DATA3 reused	DATA3	3283	22	5.7 No identifier name should be reused
        Identifier DATA3 reused	DATA3	3618	22	5.7 No identifier name should be reused
        Identifier DATA4 reused	DATA4	3030	22	5.7 No identifier name should be reused
        Identifier DATA4 reused	DATA4	3296	22	5.7 No identifier name should be reused
        Identifier DATA4 reused	DATA4	3631	22	5.7 No identifier name should be reused
        Identifier DATA5 reused	DATA5	3029	22	5.7 No identifier name should be reused
        Identifier DATA5 reused	DATA5	3295	22	5.7 No identifier name should be reused
        Identifier DATA5 reused	DATA5	3630	22	5.7 No identifier name should be reused
        Identifier DATA6 reused	DATA6	3028	22	5.7 No identifier name should be reused
        Identifier DATA6 reused	DATA6	3294	22	5.7 No identifier name should be reused
        Identifier DATA6 reused	DATA6	3629	22	5.7 No identifier name should be reused
        Identifier DATA7 reused	DATA7	3027	22	5.7 No identifier name should be reused
        Identifier DATA7 reused	DATA7	3293	22	5.7 No identifier name should be reused
        Identifier DATA7 reused	DATA7	3628	22	5.7 No identifier name should be reused
        Identifier DBE reused	DBE	5241	22	5.7 No identifier name should be reused
        Identifier DBEF reused	DBEF	2869	22	5.7 No identifier name should be reused
        Identifier DBEF reused	DBEF	3134	22	5.7 No identifier name should be reused
        Identifier DBEF reused	DBEF	3470	22	5.7 No identifier name should be reused
        Identifier DBEIE reused	DBEIE	2850	22	5.7 No identifier name should be reused
        Identifier DBEIE reused	DBEIE	3115	22	5.7 No identifier name should be reused
        Identifier DBEIE reused	DBEIE	3451	22	5.7 No identifier name should be reused
        Identifier DBFF reused	DBFF	2868	22	5.7 No identifier name should be reused
        Identifier DBFF reused	DBFF	3133	22	5.7 No identifier name should be reused
        Identifier DBFF reused	DBFF	3469	22	5.7 No identifier name should be reused
        Identifier DBFIE reused	DBFIE	2849	22	5.7 No identifier name should be reused
        Identifier DBFIE reused	DBFIE	3114	22	5.7 No identifier name should be reused
        Identifier DBFIE reused	DBFIE	3450	22	5.7 No identifier name should be reused
        Identifier DBG_F reused	DBG_F	4115	21	5.7 No identifier name should be reused
        Identifier DBR reused	DBR	5578	22	5.7 No identifier name should be reused
        Identifier DCLR reused	DCLR	376	26	5.7 No identifier name should be reused
        Identifier DCLR reused	DCLR	1562	22	5.7 No identifier name should be reused
        Identifier DCONF reused	DCONF	5541	22	5.7 No identifier name should be reused
        Identifier DDRQ reused	DDRQ	2994	22	5.7 No identifier name should be reused
        Identifier DDRQ reused	DDRQ	3260	22	5.7 No identifier name should be reused
        Identifier DDRQ reused	DDRQ	3595	22	5.7 No identifier name should be reused
        Identifier DE reused	DE	4369	21	5.7 No identifier name should be reused
        Identifier DEAR reused	DEAR	4481	10	5.7 No identifier name should be reused
        Identifier DEBUGPORT reused	DEBUGPORT	2575	6	5.7 No identifier name should be reused
        Identifier DEBUG_MODE reused	DEBUG_MODE	2573	22	5.7 No identifier name should be reused
        Identifier DERD reused	DERD	4450	6	5.7 No identifier name should be reused
        Identifier DES reused	DES	4421	6	5.7 No identifier name should be reused
        Identifier DFL reused	DFL	3006	22	5.7 No identifier name should be reused
        Identifier DFL reused	DFL	3063	22	5.7 No identifier name should be reused
        Identifier DFL reused	DFL	3272	22	5.7 No identifier name should be reused
        Identifier DFL reused	DFL	3328	22	5.7 No identifier name should be reused
        Identifier DFL reused	DFL	3607	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3862	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3879	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3896	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3913	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3930	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3947	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3966	22	5.7 No identifier name should be reused
        Identifier DFLAON reused	DFLAON	3985	22	5.7 No identifier name should be reused
        Identifier DFLASH reused	DFLASH	6446	0	5.7 No identifier name should be reused
        Identifier DFLASH_SC reused	DFLASH_SC	3842	22	5.7 No identifier name should be reused
        Identifier DFLASH_reserved0 reused	DFLASH_reserved0	6164	25	5.7 No identifier name should be reused
        Identifier DFLASH_tag reused	DFLASH_tag	6079	11	5.7 No identifier name should be reused
        Identifier DIR reused	DIR	3007	22	5.7 No identifier name should be reused
        Identifier DIR reused	DIR	3064	22	5.7 No identifier name should be reused
        Identifier DIR reused	DIR	3273	22	5.7 No identifier name should be reused
        Identifier DIR reused	DIR	3329	22	5.7 No identifier name should be reused
        Identifier DIR reused	DIR	3608	22	5.7 No identifier name should be reused
        Identifier DIS_RXF reused	DIS_RXF	5556	22	5.7 No identifier name should be reused
        Identifier DIS_TXF reused	DIS_TXF	5555	22	5.7 No identifier name should be reused
        Identifier DIV reused	DIV	4371	21	5.7 No identifier name should be reused
        Identifier DIV32EN reused	DIV32EN	2207	22	5.7 No identifier name should be reused
        Identifier DIV512EN reused	DIV512EN	2206	22	5.7 No identifier name should be reused
        Identifier DIV_F reused	DIV_F	2967	22	5.7 No identifier name should be reused
        Identifier DIV_F reused	DIV_F	3233	22	5.7 No identifier name should be reused
        Identifier DIV_F reused	DIV_F	3568	22	5.7 No identifier name should be reused
        Identifier DIV_M reused	DIV_M	2975	22	5.7 No identifier name should be reused
        Identifier DIV_M reused	DIV_M	3241	22	5.7 No identifier name should be reused
        Identifier DIV_M reused	DIV_M	3576	22	5.7 No identifier name should be reused
        Identifier DLAST_SGA reused	DLAST_SGA	5143	17	5.7 No identifier name should be reused
        Identifier DLAST_SGA reused	DLAST_SGA	5185	17	5.7 No identifier name should be reused
        Identifier DMA reused	DMA	4652	22	5.7 No identifier name should be reused
        Identifier DMA0 reused	DMA0	400	26	5.7 No identifier name should be reused
        Identifier DMA0 reused	DMA0	1586	22	5.7 No identifier name should be reused
        Identifier DMA1 reused	DMA1	399	26	5.7 No identifier name should be reused
        Identifier DMA1 reused	DMA1	1585	22	5.7 No identifier name should be reused
        Identifier DMA10 reused	DMA10	390	26	5.7 No identifier name should be reused
        Identifier DMA10 reused	DMA10	1576	22	5.7 No identifier name should be reused
        Identifier DMA11 reused	DMA11	389	26	5.7 No identifier name should be reused
        Identifier DMA11 reused	DMA11	1575	22	5.7 No identifier name should be reused
        Identifier DMA12 reused	DMA12	388	26	5.7 No identifier name should be reused
        Identifier DMA12 reused	DMA12	1574	22	5.7 No identifier name should be reused
        Identifier DMA13 reused	DMA13	387	26	5.7 No identifier name should be reused
        Identifier DMA13 reused	DMA13	1573	22	5.7 No identifier name should be reused
        Identifier DMA14 reused	DMA14	386	26	5.7 No identifier name should be reused
        Identifier DMA14 reused	DMA14	1572	22	5.7 No identifier name should be reused
        Identifier DMA15 reused	DMA15	385	26	5.7 No identifier name should be reused
        Identifier DMA15 reused	DMA15	1571	22	5.7 No identifier name should be reused
        Identifier DMA2 reused	DMA2	398	26	5.7 No identifier name should be reused
        Identifier DMA2 reused	DMA2	1584	22	5.7 No identifier name should be reused
        Identifier DMA3 reused	DMA3	397	26	5.7 No identifier name should be reused
        Identifier DMA3 reused	DMA3	1583	22	5.7 No identifier name should be reused
        Identifier DMA32 reused	DMA32	438	22	5.7 No identifier name should be reused
        Identifier DMA32 reused	DMA32	1601	22	5.7 No identifier name should be reused
        Identifier DMA33 reused	DMA33	437	22	5.7 No identifier name should be reused
        Identifier DMA33 reused	DMA33	1600	22	5.7 No identifier name should be reused
        Identifier DMA34 reused	DMA34	436	22	5.7 No identifier name should be reused
        Identifier DMA34 reused	DMA34	1599	22	5.7 No identifier name should be reused
        Identifier DMA35 reused	DMA35	435	22	5.7 No identifier name should be reused
        Identifier DMA35 reused	DMA35	1598	22	5.7 No identifier name should be reused
        Identifier DMA36 reused	DMA36	434	22	5.7 No identifier name should be reused
        Identifier DMA36 reused	DMA36	1597	22	5.7 No identifier name should be reused
        Identifier DMA37 reused	DMA37	433	22	5.7 No identifier name should be reused
        Identifier DMA37 reused	DMA37	1596	22	5.7 No identifier name should be reused
        Identifier DMA38 reused	DMA38	432	22	5.7 No identifier name should be reused
        Identifier DMA38 reused	DMA38	1595	22	5.7 No identifier name should be reused
        Identifier DMA39 reused	DMA39	431	22	5.7 No identifier name should be reused
        Identifier DMA39 reused	DMA39	1594	22	5.7 No identifier name should be reused
        Identifier DMA4 reused	DMA4	396	26	5.7 No identifier name should be reused
        Identifier DMA4 reused	DMA4	1582	22	5.7 No identifier name should be reused
        Identifier DMA40 reused	DMA40	430	22	5.7 No identifier name should be reused
        Identifier DMA41 reused	DMA41	429	22	5.7 No identifier name should be reused
        Identifier DMA42 reused	DMA42	428	22	5.7 No identifier name should be reused
        Identifier DMA43 reused	DMA43	427	22	5.7 No identifier name should be reused
        Identifier DMA44 reused	DMA44	426	22	5.7 No identifier name should be reused
        Identifier DMA45 reused	DMA45	425	22	5.7 No identifier name should be reused
        Identifier DMA46 reused	DMA46	424	22	5.7 No identifier name should be reused
        Identifier DMA47 reused	DMA47	423	22	5.7 No identifier name should be reused
        Identifier DMA48 reused	DMA48	422	22	5.7 No identifier name should be reused
